iter	Logloss
0	0.4449633227
1	0.3665832119
2	0.3362922718
3	0.3181349596
4	0.2877319841
5	0.2825756268
6	0.2791270715
7	0.2770073251
8	0.2756107058
9	0.2709171145
10	0.2700810697
11	0.2662149139
12	0.2656034607
13	0.2650157577
14	0.2646532702
15	0.2643647833
16	0.2641886188
17	0.2640502986
18	0.263808091
19	0.2636211291
20	0.2635164385
21	0.2633572719
22	0.2632367438
23	0.2631759289
24	0.2630729836
25	0.262419565
26	0.262310855
27	0.2622367633
28	0.2621715806
29	0.2620375896
30	0.2619566417
31	0.2619104579
32	0.2611840081
33	0.2611169108
34	0.2610658989
35	0.2609814084
36	0.2609285067
37	0.2597759613
38	0.2596821364
39	0.259621923
40	0.2595881459
41	0.2595586235
42	0.2595139216
43	0.2594734223
44	0.2593865904
45	0.2593354993
46	0.259314377
47	0.2592909539
48	0.2592182007
49	0.2591912462
50	0.259149847
51	0.2590673161
52	0.2590074802
53	0.2589811584
54	0.2589387842
55	0.2589178179
56	0.2588850288
57	0.2588277145
58	0.2587752412
59	0.258749478
60	0.258689895
61	0.2586458895
62	0.2586009818
63	0.2585628358
64	0.2585263856
65	0.2584832224
66	0.258426545
67	0.2583709626
68	0.2583006732
69	0.258240447
70	0.2581989444
71	0.2581400101
72	0.2581126223
73	0.2580850444
74	0.2580438047
75	0.2579947575
76	0.2579638535
77	0.2579221421
78	0.2578692522
79	0.2578190233
80	0.2578004015
81	0.2577574906
82	0.2577283106
83	0.2576958944
84	0.2576646447
85	0.2576259965
86	0.2575984035
87	0.2575357565
88	0.2575022175
89	0.2574724577
90	0.2574259939
91	0.2573812977
92	0.2573448923
93	0.257305985
94	0.2572963661
95	0.2572612638
96	0.257227737
97	0.2572092039
98	0.2571778629
99	0.2571505642
100	0.2571097693
101	0.2570725058
102	0.2570354529
103	0.2570134321
104	0.2569932256
105	0.2569515054
106	0.2569027578
107	0.2568741772
108	0.2568360285
109	0.2568088123
110	0.2567790124
111	0.2567762076
112	0.2567506726
113	0.2567136033
114	0.2566831866
115	0.2566539435
116	0.2566272464
117	0.2566096561
118	0.256586649
119	0.2565480542
120	0.2565258644
121	0.256494346
122	0.2564711537
123	0.2564397723
124	0.2564090533
125	0.256380453
126	0.2563632441
127	0.2563293653
128	0.2563074246
129	0.2562733243
130	0.2562316558
131	0.2561929526
132	0.2561841895
133	0.2561505402
134	0.2561340774
135	0.2561026431
136	0.2560789612
137	0.2560478163
138	0.2560263348
139	0.256004444
140	0.2559804657
141	0.2559584612
142	0.255956314
143	0.2559400012
144	0.2559197079
145	0.2558955349
146	0.2558422074
147	0.2558056528
148	0.2557816341
149	0.2556751784
150	0.2556472007
151	0.2556205555
152	0.255599181
153	0.2555798924
154	0.2555632164
155	0.2555616656
156	0.2555279292
157	0.2555124995
158	0.2554889122
159	0.2554330422
160	0.2554080229
161	0.2553743606
162	0.2553562461
163	0.2553371548
164	0.2552891236
165	0.2552696321
166	0.2552446876
167	0.2552253782
168	0.255203922
169	0.255173715
170	0.2551462036
171	0.25513041
172	0.2551040767
173	0.2550820016
174	0.2550580142
175	0.2550351295
176	0.2549973298
177	0.2549713444
178	0.2549479837
179	0.2549225726
180	0.2548834482
181	0.2548624246
182	0.2548440607
183	0.2548152694
184	0.2548017297
185	0.2547880124
186	0.2547602004
187	0.2547360261
188	0.2547095557
189	0.2546808716
190	0.2546514622
191	0.2546319932
192	0.2546142606
193	0.2545993136
194	0.2545801507
195	0.2545638717
196	0.2545462562
197	0.2545258805
198	0.2545014241
199	0.2544765399
200	0.2544582447
201	0.2544384548
202	0.2544175459
203	0.2543939214
204	0.2543744445
205	0.2543618369
206	0.2543383598
207	0.2543202085
208	0.2542940716
209	0.2542708856
210	0.2542518363
211	0.2542171671
212	0.2541973895
213	0.2541661632
214	0.2541416873
215	0.2541249597
216	0.2541093558
217	0.2540947826
218	0.2538526797
219	0.2538309752
220	0.2538131506
221	0.2538023228
222	0.2537765917
223	0.2537530981
224	0.2537333597
225	0.2537067042
226	0.2536908514
227	0.2536772841
228	0.2536636501
229	0.2536420596
230	0.2536212185
231	0.2536021799
232	0.2535885633
233	0.2535748306
234	0.2535544332
235	0.2535323765
236	0.2535037222
237	0.2534843721
238	0.2534672743
239	0.2534482969
240	0.2534282871
241	0.2534058722
242	0.2533854815
243	0.2533668127
244	0.2533446959
245	0.2533283985
246	0.2532999268
247	0.253282266
248	0.2532685944
249	0.2532405974
250	0.2532137679
251	0.2531995103
252	0.2531816553
253	0.2531607715
254	0.2531327769
255	0.2531132065
256	0.253089168
257	0.2530742595
258	0.2530548388
259	0.2530406885
260	0.2530160698
261	0.2529947359
262	0.2529835708
263	0.2529671271
264	0.2529291806
265	0.2529111503
266	0.2528940056
267	0.2528725619
268	0.2528469791
269	0.2528226981
270	0.2527959266
271	0.2527807435
272	0.2527596236
273	0.2527390763
274	0.2527263111
275	0.252710334
276	0.2526922425
277	0.2526785993
278	0.2526554455
279	0.2526328434
280	0.2526177679
281	0.2526032407
282	0.2525758983
283	0.2525574982
284	0.25252502
285	0.2524983249
286	0.2524829985
287	0.2524700771
288	0.2524460771
289	0.2524283161
290	0.2524102353
291	0.2523888719
292	0.2523652507
293	0.2523510253
294	0.2523351487
295	0.2523134172
296	0.2522986262
297	0.2522749463
298	0.2522542506
299	0.2522395315
